,genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin,uniprot_id
550,Pseudomonas silesiensis,1853130,A3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,GCA_001661075.1,59.6,6.8,NR_156815,54.0,4.0,22.5,15.0,30.0,35.0,31.0,UP000078354
551,Rhizobacter gummiphilus,946333,NS-21,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Rhizobacter,GCA_002116905.1,69.7,6.4,NR_132677,55.3,10.0,22.5,15.0,30.0,35.0,25.0,UP000230704
552,Polaribacter reichenbachii,996801, 6Alg 8,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,GCA_001975665.1,29.5,4.1,HQ891656,50.1,4.0,27.0,26.0,28.0,35.0,31.0,UP000232773
553,Paraglaciecola mesophila,197222,KMM 241,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola,GCA_009906955.1,43.9,5.0,AJ488501,52.1,7.0,26.5,25.0,28.0,35.0,28.0,UP000464524
554,Pseudoalteromonas agarivorans,176102,KMM 255,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GCA_002310855.1,40.9,4.5,AJ417594,53.4,7.0,24.0,20.0,28.0,35.0,28.0,UP000279995
555,Maricaulis maris,74318,CM11,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Maricaulis,GCA_000014745.1,62.7,3.4,AJ227802,55.0,15.0,22.5,20.0,25.0,35.0,20.0,UP000273675
556,Marinobacterium aestuarii,1821621,ST58-10,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,GCA_001651805.1,58.8,5.2,KU886021,54.4,4.0,22.5,20.0,25.0,35.0,31.0,UP000078070
557,Chitinophaga caeni,2029983,13,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,GCA_002557795.1,42.5,5.3,MF770265,56.5,10.0,30.0,,,34.0,24.0,UP000220133
558,Endomicrobium proavitum,1408281,Rsa215,Bacteria,Elusimicrobia,Endomicrobia,Endomicrobiales,Endomicrobiaceae,Endomicrobium,GCA_001027545.1,39.3,1.6,NR_156018,53.0,16.0,30.0,,,34.0,18.0,UP000035337
559,Tenacibaculum maritimum,107401,R2,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,GCA_900119795.1,32.0,3.4,AB078057,50.1,15.0,30.0,,,34.0,19.0,UP000441868
560,Mesorhizobium japonicum,2066070,Opo-235,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,GCA_000009625.1,62.5,7.6,MF661783,56.2,15.0,28.0,,,34.0,19.0,UP000623483
561,Brachybacterium ginsengisoli,1331682,DCY80,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,GCA_002407065.1,71.6,4.0,KC876052,56.6,4.0,25.0,,,34.0,30.0,UP000217889
562,Lutibacter profundi,1622118,LP1,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lutibacter,GCA_001543325.1,29.8,3.0,KP704270,49.8,13.0,23.0,,,34.0,21.0,UP000059672
563,Planctopirus ephydatiae,2528019,spb1,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctopirus,GCA_007752345.1,53.8,5.2,MK559993,56.1,15.0,30.0,,,33.0,18.0,UP000315349
564,Rufibacter tibetensis,512763,1351,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Rufibacter,GCA_001310085.1,,5.4,EU543663,56.1,18.0,30.0,,,33.0,15.0,UP000061382
565,Sulfurospirillum multivorans,66821,DSM 12446,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum,GCA_000568815.1,40.9,3.2,X82931,49.4,15.0,30.0,,,33.0,18.0,UP000323483
566,Pseudomonas pelagia,553151,CL-AP6,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,GCA_009497895.1,57.5,4.6,EU888911,53.1,4.0,25.0,,,33.0,29.0,UP000344571
567,Pseudomonas lundensis,86185,573,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,GCA_001020725.2,58.7,4.8,NR_024704,53.1,0.0,25.0,,,33.0,33.0,UP000773110
568,Entomoplasma luminosum,214888,PIMN‐1,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Entomoplasma,GCA_002803985.1,29.8,1.0,AY155670,49.6,0.0,32.0,,,32.0,32.0,UP000239250
569,Entomoplasma somnilux,215578,PYAN‐1,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Entomoplasma,GCA_002804005.1,28.0,0.9,AY157871,49.4,10.0,30.0,,,32.0,22.0,UP000232230
570,Entomoplasma freundtii,74700,BARC 318,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Entomoplasma,GCA_002804205.1,34.6,0.8,AF036954,49.1,10.0,30.0,,,32.0,22.0,UP000295401
571,Mesoplasma entomophilum,2149,TAC,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Mesoplasma,GCA_002749675.1,27.2,0.8,M23931,47.6,23.0,30.0,,,32.0,9.0,UP000239817
572,Nonlabens dokdonensis,328515, DSW-6,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,GCA_000332115.1,35.3,3.9,DQ017065,50.0,4.0,25.0,,,32.0,28.0,UP000248584
573,Mesoplasma syrphidae,225999,YJS,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Mesoplasma,GCA_002843565.1,30.1,0.9,AY231458,49.9,10.0,23.0,,,32.0,22.0,UP000233419
574,Spirochaeta perfilievii,252967,P,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,GCA_008329945.1,32.6,3.7,AY337318,51.0,4.0,29.0,28.0,30.0,32.0,28.0,UP000323824
575,Chryseobacterium jeonii,266749,AT1047,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,GCA_900638245.1,35.0,3.3,AY553294,49.3,4.0,21.5,,,31.0,27.0,UP000281972
576,Paenibacillus antarcticus,253703,20CM,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_008369725.1,40.6,5.4,AJ605292,54.3,4.0,12.5,10.0,15.0,31.0,27.0,UP000077355
577,Tetragenococcus osmophilus,526944, T1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,GCA_003795125.1,36.3,2.4,EU522083,54.8,15.0,30.0,,,30.0,15.0,UP000268310
578,Francisella marina,2249302,E95-16,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,GCA_008369785.1,,2.1,MH057668,51.5,20.0,30.0,,,30.0,10.0,UP000322509
579,Virgibacillus phasianinus,2017483,LM2416 ,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,GCA_002216775.1,39.5,4.1,KY785406,54.7,10.0,30.0,,,30.0,20.0,UP000198312
580,Phreatobacter stygius,1940610,YC6-17,Bacteria,Proteobacteria,Alphaproteobacteria,,,Phreatobacter,GCA_005144885.1,66.7,7.4,LT719153,55.8,10.0,30.0,,,30.0,20.0,UP000298781
581,Pigmentiphaga aceris,1940612,SAP-32,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pigmentiphaga,GCA_008119665.1,61.4,6.2,LT719155,54.5,10.0,30.0,,,30.0,20.0,UP000325161
582,Pseudomonas kribbensis,1628086,Feb-46,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,GCA_003352185.1,60.5,6.3,KT321658,53.8,4.0,30.0,,,30.0,26.0,UP000297555
583,Spirosoma montaniterrae,1178516, DY10,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,GCA_001988955.1,52.7,5.8,JQ958375,55.7,10.0,30.0,,,30.0,20.0,UP000187941
584,Paenibacillus swuensis,1178515,DY6,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_001644605.1,48.9,5.0,JQ958374,54.9,10.0,30.0,,,30.0,20.0,UP000076927
585,Fimbriimonas ginsengisoli,1005039,Gsoil 348,Bacteria,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonas,GCA_000724625.1,60.8,5.2,GQ339893,55.6,15.0,30.0,,,30.0,15.0,UP000727962
586,Arenibacter algicola,616991,TG-409,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Arenibacter,GCA_002234495.1,,5.9,FJ176555,53.1,10.0,30.0,,,30.0,20.0,UP000654077
587,Fuerstia marisgermanicae,1891926,NH11,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Fuerstia,GCA_001983935.1,55.9,8.9,KX757851,54.4,20.0,28.0,,,30.0,10.0,UP000187735
588,Paenibacillus ihbetae,1870820,IHBB 9852,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_002741055.1,52.1,6.6,KP745129,54.6,5.0,28.0,,,30.0,25.0,UP000189059
589,Pseudomonas versuta,1788301,L10.10,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,GCA_001294575.1,58.2,5.1,KC433618,53.2,4.0,28.0,,,30.0,26.0,UP000186677
590,Flavobacterium gilvum,1492737,EM1308,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,GCA_001761465.1,35.2,4.4,KX037100,51.0,4.0,28.0,,,30.0,26.0,UP000175968
591,Mucilaginibacter gossypii,551996,Gh-67,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,GCA_003286435.2,42.7,7.6,EU672804,51.0,20.0,28.0,,,30.0,10.0,UP000663911
592,Agromyces aureus,453304,AR33,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,GCA_001660485.1,70.4,4.4,KU141338,56.8,10.0,28.0,,,30.0,20.0,UP000078437
593,Methylobacterium phyllosphaerae,418223,CBMB27,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,GCA_001936175.1,69.6,6.3,EF126746,57.1,20.0,28.0,,,30.0,10.0,UP000199140
594,Methylobacterium aquaticum,270351,GR16 ,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,GCA_001548015.1,70.8,7.6,AJ635303,57.8,20.0,28.0,,,30.0,10.0,UP000596326
595,Kocuria palustris,71999,DSM11925,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,GCA_001275345.1,70.5,2.9,Y16264,57.2,10.0,28.0,,,30.0,20.0,UP000829114
596,Planococcus versutus,1302659, L10.15,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,GCA_001186155.3,39.4,3.3,KX516729,55.9,4.0,26.0,,,30.0,26.0,UP000053354
597,Flavobacterium sangjuense,2518177,GS03,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,GCA_004797125.1,36.1,3.1,MH168564,51.0,4.0,25.0,,,30.0,26.0,UP000296862
598,Cohnella abietis,2507935,HS21,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,GCA_004295585.1,44.8,7.1,MK418450,55.4,4.0,25.0,,,30.0,26.0,UP000289856
599,Nocardioides baekrokdamisoli,1804624,B2-12,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,GCA_003945325.1,67.0,3.0,LC127008,57.5,15.0,25.0,,,30.0,15.0,UP000271573
600,Echinicola strongylocentroti,1795355,MEBiC08714,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,GCA_003260975.1,44.1,6.3,KU647633,55.5,20.0,25.0,,,30.0,10.0,UP000248688
601,Flavobacterium crassostreae,1763534,LPB0076,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,GCA_001831475.1,36.0,3.0,KU057346,50.3,15.0,25.0,,,30.0,15.0,UP000093510
602,Paenibacillus baekrokdamisoli,1712516,Back-11,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_003945345.1,45.3,7.3,LC082229,54.8,10.0,25.0,,,30.0,20.0,UP000562277
603,Planococcus faecalis,1598147,AJ003,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,GCA_002009235.1,40.9,3.5,KM677191,55.4,-20.0,25.0,,,30.0,50.0,UP000189661
604,Lacinutrix venerupis,1486034,Cmf 20.8,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,GCA_001971745.1,30.6,3.2,HG970752,49.4,4.0,25.0,,,30.0,26.0,UP000187506
605,Hymenobacter sedentarius,1411621,DG5B,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,GCA_001507645.1,61.0,4.9,KF601295,56.7,10.0,25.0,,,30.0,20.0,UP000059542
606,Variibacter gotjawalensis,1333996,GJW-30,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Variibacter,GCA_002355335.1,62.2,4.6,HF970589,56.0,10.0,25.0,,,30.0,20.0,UP000775958
607,Nitrosospira lacus,1288494,APG3,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,GCA_000355765.4,53.6,3.3,KC477402,54.5,4.0,25.0,,,30.0,26.0,UP000012179
608,Salipiger profundus,1229727,JLT2016,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Salipiger,GCA_001969385.1,66.6,5.4,JX397932,55.4,10.0,25.0,,,30.0,20.0,UP000621009
609,Mariniblastus fucicola,980251,FC18,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Mariniblastus,GCA_008087665.1,53.4,6.6,HQ845450,52.7,10.0,25.0,,,30.0,20.0,UP000322214
610,Serratia symbiotica,138074,CWBI-2.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,GCA_008370165.1,51.9,2.8,GU394001,54.7,10.0,25.0,,,30.0,20.0,UP001057523
611,Litoricola lipolytica,418701,IMCC1097,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Litoricolaceae,Litoricola,GCA_009650135.1,58.8,2.3,EF176580,53.7,15.0,25.0,,,30.0,15.0,UP000388235
612,Methylocystis heyeri,391905,H2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,GCA_004802635.2,63.0,4.7,AM283543,56.1,5.0,25.0,,,30.0,25.0,UP000309061
613,Inhella inkyongensis,392593,IMCC1713,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Inhella,GCA_005952805.1,66.2,4.1,DQ664238,56.1,15.0,25.0,,,30.0,15.0,UP000554837
614,Pedobacter ginsengisoli,363852,Gsoil 104,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,GCA_002736205.1,37.8,5.4,AB245371,51.2,4.0,25.0,,,30.0,26.0,UP000223749
615,Pseudoalteromonas tunicata,314281,DS,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GCA_003568825.1,39.9,5.0,Z25522,52.7,4.0,25.0,,,30.0,26.0,UP000262605
616,Rhodoferax ferrireducens,192843,T118,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,GCA_000013605.1,,5.0,AF435948,54.4,4.0,25.0,,,30.0,26.0,UP000192505
617,Herminiimonas arsenicoxydans,204773,ULPAs1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas,GCA_000026125.1,54.3,3.4,AY728038,51.7,4.0,25.0,,,30.0,26.0,UP000006697
618,Pseudoalteromonas luteoviolacea,43657,CH130,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GCA_001750165.1,41.7,6.2,X82144,52.9,10.0,25.0,,,30.0,20.0,UP000673416
619,Cyclobacterium marinum,104,Raj,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Cyclobacterium,GCA_000222485.1,38.1,6.2,AJ575266,53.5,20.0,25.0,,,30.0,10.0,UP000323835
620,Entomoplasma melaleucae,81459,M1,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Entomoplasma,GCA_002804105.1,26.6,0.8,M24478,47.9,10.0,23.0,,,30.0,20.0,UP000231896
621,Oenococcus oeni,1247,ATCC 23279,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Oenococcus,GCA_000014385.1,37.9,1.8,AB022924,50.2,20.0,22.0,,,30.0,10.0,UP000594853
622,Psychrobacter cryohalolentis,330922,K5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,GCA_000013905.1,42.2,3.1,AY660685,52.9,-10.0,22.0,,,30.0,40.0,UP000197038
623,Carnobacterium inhibens,147709,K1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,GCA_000493735.1,,2.5,Z73313,53.8,0.0,20.0,,,30.0,30.0,UP000638836
624,Arcticibacterium luteifluviistationis,1784714,SM1504,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Arcticibacterium,GCA_003258705.1,37.2,5.4,KU529276,50.0,4.0,20.0,,,30.0,26.0,UP000249873
625,Rhodoferax saidenbachensis,1484693,ED16,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,GCA_001955715.1,60.9,4.3,FJ755906,53.8,4.0,20.0,,,30.0,26.0,UP000186110
626,Kordia antarctica,1218801,IMCC3317,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia,GCA_009901525.1,33.2,5.5,JX456458,49.6,4.0,20.0,,,30.0,26.0,UP000464657
627,Flavobacterium faecale,1355330,WV33,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,GCA_003076455.1,35.2,4.6,KF214259,50.3,10.0,16.0,,,30.0,20.0,UP000244527
628,Mariprofundus aestuarium,1921086,CP-5,Bacteria,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,GCA_002795805.1,51.5,2.5,CP018799,52.5,10.0,27.5,20.0,35.0,30.0,20.0,UP000231701
629,Cellulophaga baltica,76594,LMG 18535,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,GCA_000468615.2,34.7,4.6,AJ005972,50.6,20.0,28.0,26.0,30.0,30.0,10.0,UP000760219
630,Spirosoma radiotolerans,1379870,DG5A,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,GCA_000974425.1,49.5,7.0,KF303585,54.5,10.0,27.5,25.0,30.0,30.0,20.0,UP000033054
631,Gemmatimonas phototrophica,1379270,AP64,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,GCA_000695095.2,64.4,4.7,KF481682,60.5,16.0,27.5,25.0,30.0,30.0,14.0,UP000076404
632,Ferriphaselus amnicola,1188319,OYT1,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Ferriphaselus,GCA_000974685.2,55.9,2.7,AB720115,53.4,8.0,27.5,25.0,30.0,30.0,22.0,UP000033070
633,Flavisolibacter ginsenosidimutans,661481,Gsoil 636,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,GCA_007970805.1,46.4,5.1,GQ339897,51.4,18.0,27.5,25.0,30.0,30.0,12.0,UP000321204
634,Phycisphaera mikurensis,547188,FYK2301M01,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera,GCA_000284115.1,73.2,3.9,NR_112798,55.8,10.0,27.5,25.0,30.0,30.0,20.0,UP000531890
635,Flavobacterium johnsoniae,986,van Niel MYX 1.1.1,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,GCA_000016645.1,34.1,6.1,AM230489,51.2,10.0,27.5,25.0,30.0,30.0,20.0,UP000319167
636,Labilithrix luteola,1391654,B00002,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Labilitrichaceae,Labilithrix,GCA_001263205.1,66.1,12.2,AB847449,55.8,15.0,25.0,20.0,30.0,30.0,15.0,UP000064967
637,Phaeobacter porticola,1844006,P97,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Phaeobacter,GCA_001888185.1,58.6,4.2,KX163077,54.8,4.0,24.0,20.0,28.0,30.0,26.0,UP000183859
638,Luteipulveratus mongoliensis,571913,MN07-A0370,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Luteipulveratus,GCA_001190945.1,68.2,5.4,AB468971,56.7,10.0,24.0,20.0,28.0,30.0,20.0,UP000066480
639,Salinispora arenicola,168697,CNH-643,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora,GCA_000018265.1,69.5,5.8,NR_042725,60.0,10.0,24.0,20.0,28.0,30.0,20.0,UP000787815
640,Streptomyces lunaelactis,1535768,MM109,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,GCA_003054555.1,,8.6,KM207217,58.2,10.0,23.0,18.0,28.0,30.0,20.0,UP000785705
641,Pedobacter steynii,430522,WB 2.3-45 ,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,GCA_001721645.1,,6.6,AM491372,51.0,10.0,26.0,25.0,27.0,30.0,20.0,UP000183200
642,Lactobacillus lindneri,53444,KPA,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,GCA_001702135.1,34.4,1.5,X95421,51.3,15.0,23.5,22.0,25.0,30.0,15.0,UP000237326
643,Tenacibaculum dicentrarchi,669041,13028,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,GCA_001483385.1,31.5,2.9,FN545354,49.8,4.0,23.5,22.0,25.0,30.0,26.0,UP000234582
644,Gramella forsetii,411153,KT0803,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella,GCA_000060345.1,36.6,3.8,AF235117,50.8,2.0,23.5,22.0,25.0,30.0,28.0,UP000605733
645,Pseudoalteromonas aliena,247523,SW19 ,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GCA_001999225.1,39.1,4.6,AY387858,53.2,4.0,23.5,22.0,25.0,30.0,26.0,UP000188243
646,Halioglobus japonicus,930805,S1-36,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halioglobus,GCA_001983995.1,57.7,4.1,AB602427,54.7,15.0,22.5,20.0,25.0,30.0,15.0,UP000637543
647,Paenibacillus donghaensis,414771,JH8,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_002192415.1,49.7,8.5,EF079062,55.0,4.0,22.5,20.0,25.0,30.0,26.0,UP000249890
648,Thalassolituus oleivorans,187493,MIL-1,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Thalassolituus,GCA_000355675.1,46.6,3.9,AJ431699,53.4,4.0,22.5,20.0,25.0,30.0,26.0,UP000673182
649,Flavobacterium branchiophilum,55197,Wakabayashi BGD-7721,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,GCA_000253275.1,32.9,3.6,D14017,47.0,5.0,21.5,18.0,25.0,30.0,25.0,UP000320773
650,Paludisphaera borealis,1387353,PX4,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Isosphaeraceae,Paludisphaera,GCA_001956985.1,66.2,7.7,KF467528,61.0,6.0,20.0,15.0,25.0,30.0,24.0,UP000186309
651,Methylocella silvestris,199596,BL2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella,GCA_000021745.1,63.1,4.3,AJ491847,55.6,4.0,20.0,15.0,25.0,30.0,26.0,UP000236286
652,Methylovirgula ligni,569860,BW863,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylovirgula,GCA_004135935.1,62.3,3.3,FM252034,54.6,4.0,22.0,20.0,24.0,30.0,26.0,UP000291583
653,Oceanicoccus sagamiensis,716816,PZ-5,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Oceanicoccus,GCA_002117105.1,47.7,4.5,AB545809,53.5,10.0,17.5,15.0,20.0,30.0,20.0,UP000193450
654,Bradyrhizobium guangdongense,1325090,CCBAU 51649,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,GCA_004114975.1,63.3,8.4,KC508867,54.8,15.0,28.0,,,28.0,13.0,UP000625079
655,Ichthyobacterium seriolicida,242600,JBKA-6,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Ichthyobacteriaceae,Ichthyobacterium,GCA_002369955.1,32.8,1.9,AB713897,49.2,18.0,26.0,,,28.0,10.0,UP000243197
656,Croceibacter atlanticus,313588,HTCC2559,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceibacter,GCA_000196315.1,33.9,3.0,AY163576,53.9,10.0,25.0,,,28.0,18.0,UP000697563
657,Massilia violaceinigra,2045208,B2,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,GCA_002752675.1,63.5,7.5,KF267246,53.6,4.0,20.0,,,28.0,24.0,UP000831532
658,Cryobacterium arcticum,670052,SK1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium,GCA_001679725.1,68.4,4.4,GQ406814,56.3,-6.0,20.0,,,28.0,34.0,UP000246722
659,Chryseobacterium antarcticum,266748,AT1013,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,GCA_900637895.1,36.1,3.1,AY553293,49.8,4.0,18.9,,,28.0,24.0,UP000183030
