,Cellular component,Molecular function,Ligand,Biological process,PTM,no_keywords,Technical term,Domain
249652,,Topoisomerase,Zinc,,,,,Zinc-finger
249682,,Lyase,Metal-binding,Leucine biosynthesis,,,,
249690,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,
249697,,Lyase,Metal-binding,Branched-chain amino acid biosynthesis,,,,
249709,,RNA-binding,Metal-binding,Tricarboxylic acid cycle,,,,
249717,,Lyase,Zinc,Thiamine biosynthesis,,,,
249753,,Ribosomal protein,,,,,,Coiled coil
249758,,rRNA-binding,,,,,,
249772,,,Metal-binding,Transport,,,,Repeat
249784,,Ribosomal protein,,,,,,
249785,,Ribosomal protein,,,,,,
249790,,Oxidoreductase,Nucleotide-binding,Deoxyribonucleotide synthesis,,,,
249792,,Ribosomal protein,,,,,,
249856,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
249866,Cytoplasm,Chaperone,,,,,,
249872,Cytoplasm,Ligase,Nucleotide-binding,Arginine biosynthesis,,,,
249882,,rRNA-binding,,,,,,
249885,,Protease,Zinc,,,,,
249905,,Ribosomal protein,,,,,,
249912,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,,
249956,,rRNA-binding,,,,,,
249963,,Ribosomal protein,,,,,,
249965,,Ribosomal protein,,,,,,
249975,,rRNA-binding,,,,,,
249977,,rRNA-binding,,,,,,
249978,,rRNA-binding,,,,,,
249979,,tRNA-binding,,,,,,
249980,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
249982,,rRNA-binding,,,,,,
249983,,tRNA-binding,,,,,,
249986,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
249987,,tRNA-binding,,,,,,
249988,,rRNA-binding,,,,,,
249990,,rRNA-binding,,,,,,
249991,,rRNA-binding,,,Methylation,,,
249992,,,,Transcription termination,,,,
250058,,Ligase,Nucleotide-binding,Purine biosynthesis,,,,
250078,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,,Repeat
250147,,Oxidoreductase,NADP,Tricarboxylic acid cycle,,,,
250243,,Oxidoreductase,Metal-binding,Deoxyribonucleotide synthesis,,,,
250255,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,,
250269,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,
250293,Membrane,,Metal-binding,,,,,
250327,,Lyase,,Leucine biosynthesis,,,,
250342,Cytoplasm,Chaperone,Nucleotide-binding,,,,,
250413,,,Ubiquinone,,,,,Repeat
250645,,,,,Phosphoprotein,,,
250656,,Ribosomal protein,,,,,,
250781,,DNA-binding,,,,,,
250917,,Ribosomal protein,,,,,,
250920,,Ribosomal protein,,,,,,
251450,Cytoplasm,DNA-binding,,Transcription regulation,,,,
251541,,,Flavoprotein,,,,,
252150,,,Biotin,,,,,
252412,,Transferase,,,,,,
252670,Cytoplasm,Serine protease,Nucleotide-binding,Stress response,,,,
252678,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,Coiled coil
252726,,Lyase,Zinc,Thiamine biosynthesis,,,,
252731,,Peroxidase,Metal-binding,Hydrogen peroxide,,,,
252733,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
252787,,Lyase,Zinc,Thiamine biosynthesis,,,,
252851,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
252877,,Lyase,Metal-binding,Leucine biosynthesis,,,,
252904,Membrane,Translocase,Ubiquinone,,Quinone,,,Repeat
252920,,RNA-binding,Metal-binding,Tricarboxylic acid cycle,,,,
252979,,Protease,Zinc,,,,,
253047,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,,
253066,,Ribosomal protein,,,,,,
253103,Cytoplasm,,,Protein biosynthesis,Methylation,,,Coiled coil
253104,Cytoplasm,Chaperone,,,,,,
253127,,tRNA-binding,,,,,,
253129,,rRNA-binding,,,,,,
253137,,rRNA-binding,,,,,,
253139,,rRNA-binding,,,,,,
253140,,rRNA-binding,,,,,,
253147,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
253149,,rRNA-binding,,,,,,
253152,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
253153,,tRNA-binding,,,,,,
253154,,Ribosomal protein,,,,,,
253157,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
253159,,rRNA-binding,,,Methylation,,,
253195,,rRNA-binding,,,,,,
253223,,tRNA-binding,,,,,,
253232,Cytoplasm,Hydrolase,NAD,One-carbon metabolism,,,,
253268,,Oxidoreductase,NADP,Tricarboxylic acid cycle,,,,
253315,,,NAD,,,,,Repeat
253357,Cytoplasm,Protease,Nucleotide-binding,,,,,
253447,,DNA-binding,,Translation regulation,,,,
253465,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,,Repeat
253491,,Ribosomal protein,,,,,,
253514,,Protease,Nucleotide-binding,,,,,Repeat
253515,,Ribosomal protein,,,,,,
253536,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,Coiled coil
253545,,rRNA-binding,,,,,,
253612,,,,,,True,,
253651,Cytoplasm,Ligase,Nucleotide-binding,Arginine biosynthesis,,,,
253703,,,,Transport,,,,
253884,,Transferase,,,,,,
253885,,DNA-binding,,,,,,
253990,,Ribosomal protein,,,,,,
254150,,,,Transport,,,,
254522,,Ribosomal protein,,,,,,
255154,,,,,Phosphoprotein,,,
255844,Cytoplasm,,,,,,,
255845,,Ribosomal protein,,,,,,
256084,,,,,Phosphoprotein,,,
256356,,,Flavoprotein,,,,,
256394,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,,
256398,Cytoplasm,Excision nuclease,Zinc,SOS response,,,,Zinc-finger
256409,Membrane,Translocase,Zinc,Transport,,,,
256539,Cytoplasm,Transferase,NADP,tRNA processing,,,,
256541,,Topoisomerase,Zinc,,,,,Zinc-finger
256570,Cytoplasm,,Nucleotide-binding,Septation,,,,
256578,Cytoplasm,tRNA-binding,Nucleotide-binding,Ribosome biogenesis,,,,
256604,Cytoplasm,Serine protease,Nucleotide-binding,Stress response,,,,Coiled coil
256631,,Lyase,Zinc,Thiamine biosynthesis,,,,
256642,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
256646,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
256689,,rRNA-binding,,,,,,
256697,,Ribosomal protein,,,,,,
256711,Cytoplasm,,,Protein biosynthesis,Methylation,,,Coiled coil
256732,Cytoplasm,,,Protein biosynthesis,Methylation,,,
256746,Cytoplasm,RNA-binding,,,,,,
256781,Cytoplasm,Chaperone,,,,,,
256809,Cytoplasm,Initiation factor,,Protein biosynthesis,,,,
256823,Cytoplasm,Sigma factor,,Transcription regulation,,,,
256824,,rRNA-binding,,,,,,
256875,,Repressor,Zinc,Transcription regulation,,,,Zinc-finger
256896,Cytoplasm,Repressor,Metal-binding,Transcription regulation,,,,
256936,,Sigma factor,,Transcription regulation,,,,
256958,,Isomerase,Metal-binding,,,,,
257074,,rRNA-binding,,,,,,
257080,Cytoplasm,Elongation factor,,Protein biosynthesis,,,,
257084,Cytoplasm,,,Protein biosynthesis,,,,
257091,Cytoplasm,Protease,Nucleotide-binding,,,,,
257098,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,,
257111,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,,
257122,Membrane,RNA-binding,,,,,,Transmembrane helix
257128,,Ribosomal protein,,,,,,
257158,,Sigma factor,,Transcription regulation,,,,
257167,Cytoplasm,Sigma factor,,Transcription regulation,,,,Coiled coil
257173,,Ribosomal protein,,,,,,
257183,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,Coiled coil
257194,,Sigma factor,,Transcription regulation,,,,
257207,,Hydrolase,Nucleotide-binding,,,,,Coiled coil
257212,,rRNA-binding,,,,,,
257244,Membrane,Oxidoreductase,Flavoprotein,Transport,,,,
257281,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,,
257326,,Ribosomal protein,,,,,,
257328,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
257330,,rRNA-binding,Zinc,,,,,
257331,,rRNA-binding,,,,,,
257332,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
257337,,rRNA-binding,,,,,,
257340,,tRNA-binding,,,,,,
257342,,Ribosomal protein,,,,,,
257343,,rRNA-binding,,,,,,
257344,,rRNA-binding,,,,,,
257345,,rRNA-binding,,,,,,
257351,,Ribosomal protein,,,,,,
257356,,rRNA-binding,,,,,,
257360,,tRNA-binding,,,,,,
257379,,rRNA-binding,,,,,,
257381,DNA-directed RNA polymerase,Transferase,,Transcription,,,,
257392,,Ribosomal protein,,,,,,
257511,Cytoplasm,,,,,,,
257675,,,,,,True,,
257763,Cytoplasm,,,,,,,
257787,,DNA-binding,,Transcription regulation,,,,
257798,,,,Septation,,,,
258056,Cytoplasm,,,,,,,
258166,,Ribosomal protein,,,,,,
258240,,,,,,True,,
258475,,DNA-binding,,,,,,
258531,,DNA-binding,,Two-component regulatory system,Phosphoprotein,,,
258569,,,,,,True,,
258658,Membrane,,,,,,,Transmembrane helix
258784,,Hydrolase,Nucleotide-binding,,,,,
258893,Cytoplasm,,,,,,,
259089,,,Zinc,,,,,
259128,,DNA-binding,,DNA condensation,,,,
259133,,DNA-binding,,Two-component regulatory system,Phosphoprotein,,,
259241,,Hydrolase,,,,,,
260697,,Ribosomal protein,,,,,,
260791,,Sigma factor,,Transcription regulation,,,,
260861,Cytoplasm,,,Cell division,,,,Coiled coil
260909,,,,,,True,,
261045,,,,,,True,,
261084,,Ribosomal protein,,,,,,
261156,,DNA-binding,,Transcription regulation,,,,
261529,,,,,,True,,
261749,,Ribosomal protein,,,,,,
261758,,Ribosomal protein,,,,,,
261760,,Transferase,,,,,,
261777,,Protease,Nucleotide-binding,,,,,Repeat
262035,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,
262082,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,Coiled coil
262124,,Lyase,Metal-binding,Leucine biosynthesis,,,,
262211,DNA-directed RNA polymerase,Transferase,,Transcription,,,,
262212,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,Coiled coil
262252,Cytoplasm,Transferase,Metal-binding,,,,,
262269,Cytoplasm,Transferase,S-adenosyl-L-methionine,tRNA processing,,,,
262322,Cytoplasm,Elongation factor,,Protein biosynthesis,,,,
262490,Cytoplasm,DNA-binding,Nucleotide-binding,SOS response,,,,
262533,,Ribosomal protein,,,,,,
262618,Cytoplasm,DNA-binding,Metal-binding,Transcription regulation,Disulfide bond,,,
262741,,rRNA-binding,,,,,,
262745,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,
262748,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,,Repeat
262785,,Ribosomal protein,,,,,,
262792,,Ribosomal protein,,,,,,
262793,,tRNA-binding,,,,,,
262795,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
262796,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
262797,,Ribosomal protein,,,,,,
262801,,rRNA-binding,,,,,,
262802,,rRNA-binding,,,,,,
262804,,rRNA-binding,,,,,,
262806,,rRNA-binding,,,,,,
262817,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
262818,,tRNA-binding,,,,,,
262819,,rRNA-binding,,,,,,
262902,,Ribosomal protein,,,,,,
262972,,Lyase,Metal-binding,,,,,
263008,Cytoplasm,Chaperone,,,,,,
263288,Cytoplasm,,,,,,,
263814,,,,,,True,,
263825,,,Nucleotide-binding,,,,,Coiled coil
264889,,,,,,True,,
265831,,Ribosomal protein,,,,,,
266985,,,,,,True,,
267006,,Chaperone,Nucleotide-binding,,,,,Repeat
267824,Cytoplasm,,,,,,,
268015,,Ribosomal protein,,,,,,
268143,,Isomerase,Metal-binding,,,,,
270106,,Lyase,Metal-binding,Branched-chain amino acid biosynthesis,,,Reference proteome,
270172,,Ligase,Nucleotide-binding,Pyrimidine biosynthesis,,,Reference proteome,Repeat
270244,,RNA-binding,Metal-binding,Tricarboxylic acid cycle,,,Reference proteome,
270246,,Oxidoreductase,NAD,,,,Reference proteome,
270277,,Oxidoreductase,Metal-binding,Deoxyribonucleotide synthesis,,,Reference proteome,
270291,,RNA-binding,Nucleotide-binding,Transcription termination,,,Reference proteome,
270317,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
270349,,Transferase,Nucleotide-binding,,,,Reference proteome,
270372,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,
270416,,Ribosomal protein,,,,,Reference proteome,
270418,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
270434,,rRNA-binding,,,,,Reference proteome,
270436,,rRNA-binding,,,,,Reference proteome,
270437,,rRNA-binding,,,,,Reference proteome,
270442,,rRNA-binding,,,,,Reference proteome,
270445,,tRNA-binding,,,,,Reference proteome,
270448,,Ribosomal protein,,,,,Reference proteome,
270450,,Ribosomal protein,,,,,Reference proteome,
270454,,rRNA-binding,,,,,Reference proteome,
270456,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
270460,,tRNA-binding,,,,,Reference proteome,
270512,,Ribosomal protein,,,,,Reference proteome,
270526,Cytoplasm,Chaperone,,,,,Reference proteome,
270647,,rRNA-binding,,,,,Reference proteome,
270680,,,Metal-binding,Transport,,,Reference proteome,Repeat
270713,,Oxidoreductase,NADP,Tricarboxylic acid cycle,,,Reference proteome,
270721,Cytoplasm,RNA-binding,,Translation regulation,,,Reference proteome,
270769,,Oxidoreductase,Nucleotide-binding,DNA synthesis,,,Reference proteome,
270773,,rRNA-binding,,,,,Reference proteome,
270851,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
270859,,rRNA-binding,,,Methylation,,Reference proteome,
270909,,Ribosomal protein,,,,,Reference proteome,
271295,,Ribosomal protein,,,,,Reference proteome,
271486,,,Metal-binding,Transport,,,Reference proteome,
271728,,Ribosomal protein,,,,,Reference proteome,
272744,,Ribosomal protein,,,,,Reference proteome,
273437,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
273799,,tRNA-binding,,,,,Reference proteome,
273803,,rRNA-binding,,,,,Reference proteome,
273843,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
278886,,Ribosomal protein,,,,,Reference proteome,
281142,,,,,,,Reference proteome,
282520,Membrane,Protease,Zinc,,,,,Transmembrane helix
282566,,Oxidoreductase,NAD,,,,,
282611,,Peroxidase,Metal-binding,Hydrogen peroxide,,,,
282668,,Ligase,Nucleotide-binding,Pyrimidine biosynthesis,,,,Repeat
282672,Cytoplasm,Transferase,Metal-binding,,,,,
282682,DNA-directed RNA polymerase,Transferase,,Transcription,,,,Coiled coil
282687,Cytoplasm,Excision nuclease,Zinc,SOS response,,,,Zinc-finger
282708,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
282742,,Lyase,Zinc,Thiamine biosynthesis,,,,
282747,,Ligase,Nucleotide-binding,Tricarboxylic acid cycle,,,,
282767,,Lyase,Metal-binding,Leucine biosynthesis,,,,
282768,,Topoisomerase,Zinc,,,,,Zinc-finger
282769,Cytoplasm,Transferase,Zinc,Lipid metabolism,,,,Zinc-finger
282807,,RNA-binding,Metal-binding,Tricarboxylic acid cycle,,,,
282811,,Transferase,Nucleotide-binding,,,,,
282841,Cytoplasm,Chaperone,,,,,,
282845,Cytoplasm,Ligase,Nucleotide-binding,Arginine biosynthesis,,,,
282874,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,,
282927,,Lyase,Metal-binding,,,,,
283018,,Oxidoreductase,Nucleotide-binding,Deoxyribonucleotide synthesis,,,,
283021,,Oxidoreductase,Metal-binding,Deoxyribonucleotide synthesis,,,,
283053,Membrane,,Metal-binding,,,,,
283145,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,Coiled coil
283157,,rRNA-binding,,,,,,
283160,,,,Transcription termination,,,,
283161,,tRNA-binding,,,,,,
283162,,tRNA-binding,,,,,,
283163,,rRNA-binding,,,,,,
283164,,rRNA-binding,,,,,,
283165,,Ribosomal protein,,,,,,
283169,,rRNA-binding,,,,,,
283173,,rRNA-binding,,,Methylation,,,
283174,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
283178,,Ribosomal protein,,,,,,
283180,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
283188,,rRNA-binding,,,,,,
283190,,rRNA-binding,,,,,,
283194,,tRNA-binding,,,,,,
283195,,rRNA-binding,,,,,,
283210,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,,Repeat
283212,,Ribosomal protein,,,,,,
283217,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,,
283233,,Ribosomal protein,,,,,,
283236,,Ribosomal protein,,,,,,
283252,Cytoplasm,Chaperone,Nucleotide-binding,,,,,
283255,,,Metal-binding,Transport,,,,Repeat
283279,,Ligase,Nucleotide-binding,Purine biosynthesis,,,,
283297,,rRNA-binding,,,,,,
283338,,Oxidoreductase,NADP,Tricarboxylic acid cycle,,,,
283345,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
283395,,Lyase,,Leucine biosynthesis,,,,
283427,,Protease,Zinc,,,,,
283472,,rRNA-binding,,,,,,
283742,,Ribosomal protein,,,,,,
283843,,,,,,True,,
284070,,,Flavoprotein,,,,,
284419,,,Nucleotide-binding,,,,,
284519,,Ribosomal protein,,,,,,
284547,,,,,Phosphoprotein,,,
284603,,Ribosomal protein,,,,,,
284605,,Ribosomal protein,,,,,,
284643,,Ribosomal protein,,,,,,
284711,,,Biotin,,,,,
284771,Cytoplasm,DNA-binding,,Transcription regulation,,,,
284813,,Transferase,,,,,,
285300,,DNA-binding,,,,,,
286257,,Lyase,Metal-binding,,,,Reference proteome,
286361,,Ribosomal protein,,,,,Reference proteome,
286618,,tRNA-binding,,,,,Reference proteome,
292975,,Isomerase,Metal-binding,,,,Reference proteome,
293180,,,,,Phosphoprotein,,Reference proteome,
294322,,Ribosomal protein,,,,,Reference proteome,
294623,Membrane,Translocase,Nucleotide-binding,Transport,,,,
294626,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
294644,Cytoplasm,Excision nuclease,Zinc,SOS response,,,,Zinc-finger
294647,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,
294654,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,Coiled coil
294660,Cytoplasm,Serine protease,Nucleotide-binding,Stress response,,,,Coiled coil
294681,,Oxidoreductase,,,,,,
294699,Cytoplasm,tRNA-binding,Nucleotide-binding,Ribosome biogenesis,,,,
294725,Cytoplasm,,Nucleotide-binding,Septation,,,,
294763,Cytoplasm,RNA-binding,Nucleotide-binding,Stress response,,,,
294770,,Topoisomerase,Zinc,,,,,Zinc-finger
294778,Cytoplasm,Transferase,NADP,tRNA processing,,,,
294841,,Lyase,Zinc,Thiamine biosynthesis,,,,
294850,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
294868,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,,Coiled coil
294905,DNA-directed RNA polymerase,Transferase,,Transcription,,,,
294907,,rRNA-binding,,,,,,
294915,,rRNA-binding,,,,,,
294916,,rRNA-binding,Zinc,,,,,
294939,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
294943,,Ribosomal protein,,,,,,
294955,,Ribosomal protein,,,,,,
294962,,Ribosomal protein,,,,,,
294971,,tRNA-binding,,,,,,
294976,,rRNA-binding,,,,,,
294981,,Ribosomal protein,,,,,,
294987,,rRNA-binding,,,,,,
294998,Cytoplasm,,,Protein biosynthesis,Methylation,,,Coiled coil
295016,,rRNA-binding,,,,,,
295019,,rRNA-binding,,,,,,
295021,,tRNA-binding,,,,,,
295026,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
295040,Membrane,Oxidoreductase,Flavoprotein,Transport,,,,Coiled coil
295053,,,Nucleotide-binding,,,,,
295059,Cytoplasm,Sigma factor,,Transcription regulation,,,,Coiled coil
295071,,rRNA-binding,,,,,,
295141,,Ribosomal protein,,,,,,
295163,Cytoplasm,Repressor,Metal-binding,Transcription regulation,,,,
295166,,rRNA-binding,,,,,,
295172,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,Coiled coil
295219,,Ribosomal protein,,,,,,
295226,,Isomerase,Metal-binding,,,,,
295237,,Ribosomal protein,,,,,,
295265,,Ribosomal protein,,,,,,
295311,Cytoplasm,Elongation factor,,Protein biosynthesis,,,,
295323,,rRNA-binding,,,,,,
295329,Membrane,RNA-binding,,,,,,Transmembrane helix
